"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 10 17:13:45 GMT 2025","Thu Apr 10 17:13:55 GMT 2025","10420","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildTypeManuallyWithEmptyNameTest","User should not be able to create BuildType without name",""
"passed","Thu Apr 10 17:12:46 GMT 2025","Thu Apr 10 17:13:45 GMT 2025","58163","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectSuccessfullyTest","User should be able to create project",""
"passed","Thu Apr 10 17:11:43 GMT 2025","Thu Apr 10 17:12:36 GMT 2025","52744","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Apr 10 17:13:56 GMT 2025","Thu Apr 10 17:14:07 GMT 2025","11353","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeManuallySuccessfullyTest","User should be able to create build type",""
"passed","Thu Apr 10 17:13:45 GMT 2025","Thu Apr 10 17:13:45 GMT 2025","7","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutNameTest","User should not be able to create project without name",""
