"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 10 17:48:17 GMT 2025","Thu Apr 10 17:48:18 GMT 2025","1046","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Thu Apr 10 17:46:53 GMT 2025","Thu Apr 10 17:47:55 GMT 2025","61761","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"broken","Thu Apr 10 17:48:20 GMT 2025","Thu Apr 10 17:48:21 GMT 2025","1182","Surefire suite","Surefire test","com.example.teamcity.api.StartBuildTest","com.example.teamcity.api.StartBuildTest","userStartsHelloWorldBuildWithWireMockTest","User should be able to start 'Hello, World!' build (with WireMock)",""
"passed","Thu Apr 10 17:48:19 GMT 2025","Thu Apr 10 17:48:19 GMT 2025","513","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to build types with the same id",""
"passed","Thu Apr 10 17:48:14 GMT 2025","Thu Apr 10 17:48:17 GMT 2025","3432","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"broken","Thu Apr 10 17:48:19 GMT 2025","Thu Apr 10 17:48:20 GMT 2025","90","Surefire suite","Surefire test","com.example.teamcity.api.StartBuildTest","com.example.teamcity.api.StartBuildTest","userStartsBuildWithWireMockTest","User should be able to start build (with WireMock)",""
"passed","Thu Apr 10 17:48:10 GMT 2025","Thu Apr 10 17:48:13 GMT 2025","2590","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherProjectTest","Project admin should not be able to create build type for not their project",""
