"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 11 09:54:38 GMT 2025","Fri Apr 11 09:54:38 GMT 2025","8","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutNameTest","User should not be able to create project without name",""
"passed","Fri Apr 11 09:53:41 GMT 2025","Fri Apr 11 09:54:38 GMT 2025","57000","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectSuccessfullyTest","User should be able to create project",""
"passed","Fri Apr 11 09:54:38 GMT 2025","Fri Apr 11 09:54:51 GMT 2025","12684","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildTypeManuallyWithEmptyNameTest","User should not be able to create BuildType without name",""
"passed","Fri Apr 11 09:54:51 GMT 2025","Fri Apr 11 09:55:04 GMT 2025","12628","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeManuallySuccessfullyTest","User should be able to create build type",""
"passed","Fri Apr 11 09:52:28 GMT 2025","Fri Apr 11 09:53:29 GMT 2025","61256","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
