"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 11 09:40:25 GMT 2025","Fri Apr 11 09:40:28 GMT 2025","2685","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Fri Apr 11 09:40:33 GMT 2025","Fri Apr 11 09:40:34 GMT 2025","1360","Surefire suite","Surefire test","com.example.teamcity.api.StartBuildTest","com.example.teamcity.api.StartBuildTest","userStartsHelloWorldBuildWithWireMockTest","User should be able to start 'Hello, World!' build (with WireMock)",""
"passed","Fri Apr 11 09:39:15 GMT 2025","Fri Apr 11 09:40:08 GMT 2025","53205","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Fri Apr 11 09:40:28 GMT 2025","Fri Apr 11 09:40:29 GMT 2025","930","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Fri Apr 11 09:40:29 GMT 2025","Fri Apr 11 09:40:31 GMT 2025","2032","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to build types with the same id",""
"passed","Fri Apr 11 09:40:22 GMT 2025","Fri Apr 11 09:40:24 GMT 2025","2341","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Fri Apr 11 09:40:32 GMT 2025","Fri Apr 11 09:40:33 GMT 2025","408","Surefire suite","Surefire test","com.example.teamcity.api.StartBuildTest","com.example.teamcity.api.StartBuildTest","userStartsBuildWithWireMockTest","User should be able to start build (with WireMock)",""
