"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 10 19:10:33 GMT 2025","Thu Apr 10 19:11:26 GMT 2025","53132","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Apr 10 19:11:48 GMT 2025","Thu Apr 10 19:11:48 GMT 2025","444","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to build types with the same id",""
"broken","Thu Apr 10 19:11:48 GMT 2025","Thu Apr 10 19:11:50 GMT 2025","1580","Surefire suite","Surefire test","com.example.teamcity.api.StartBuildTest","com.example.teamcity.api.StartBuildTest","userStartsHelloWorldBuildWithWireMockTest","User should be able to start 'Hello, World!' build (with WireMock)",""
"passed","Thu Apr 10 19:11:40 GMT 2025","Thu Apr 10 19:11:42 GMT 2025","2357","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Thu Apr 10 19:11:43 GMT 2025","Thu Apr 10 19:11:46 GMT 2025","3399","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Thu Apr 10 19:11:46 GMT 2025","Thu Apr 10 19:11:47 GMT 2025","898","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"broken","Thu Apr 10 19:11:48 GMT 2025","Thu Apr 10 19:11:48 GMT 2025","45","Surefire suite","Surefire test","com.example.teamcity.api.StartBuildTest","com.example.teamcity.api.StartBuildTest","userStartsBuildWithWireMockTest","User should be able to start build (with WireMock)",""
