"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 10 19:32:42 GMT 2025","Thu Apr 10 19:33:43 GMT 2025","61778","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Apr 10 19:34:06 GMT 2025","Thu Apr 10 19:34:07 GMT 2025","1189","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Thu Apr 10 19:34:02 GMT 2025","Thu Apr 10 19:34:06 GMT 2025","3949","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"broken","Thu Apr 10 19:34:08 GMT 2025","Thu Apr 10 19:34:09 GMT 2025","1120","Surefire suite","Surefire test","com.example.teamcity.api.StartBuildTest","com.example.teamcity.api.StartBuildTest","userStartsHelloWorldBuildWithWireMockTest","User should be able to start 'Hello, World!' build (with WireMock)",""
"passed","Thu Apr 10 19:33:58 GMT 2025","Thu Apr 10 19:34:01 GMT 2025","2597","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherProjectTest","Project admin should not be able to create build type for not their project",""
"broken","Thu Apr 10 19:34:08 GMT 2025","Thu Apr 10 19:34:08 GMT 2025","45","Surefire suite","Surefire test","com.example.teamcity.api.StartBuildTest","com.example.teamcity.api.StartBuildTest","userStartsBuildWithWireMockTest","User should be able to start build (with WireMock)",""
"passed","Thu Apr 10 19:34:07 GMT 2025","Thu Apr 10 19:34:08 GMT 2025","768","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to build types with the same id",""
