"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 10 16:14:23 GMT 2025","Thu Apr 10 16:14:34 GMT 2025","10861","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildTypeManuallyWithEmptyNameTest","User should not be able to create BuildType without name",""
"passed","Thu Apr 10 16:13:23 GMT 2025","Thu Apr 10 16:14:23 GMT 2025","59853","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectSuccessfullyTest","User should be able to create project",""
"passed","Thu Apr 10 16:12:18 GMT 2025","Thu Apr 10 16:13:11 GMT 2025","53220","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Apr 10 16:14:35 GMT 2025","Thu Apr 10 16:14:48 GMT 2025","13572","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeManuallySuccessfullyTest","User should be able to create build type",""
"passed","Thu Apr 10 16:14:23 GMT 2025","Thu Apr 10 16:14:23 GMT 2025","4","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutNameTest","User should not be able to create project without name",""
