"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 10 19:12:18 GMT 2025","Thu Apr 10 19:12:31 GMT 2025","12984","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildTypeManuallyWithEmptyNameTest","User should not be able to create BuildType without name",""
"passed","Thu Apr 10 19:12:31 GMT 2025","Thu Apr 10 19:12:43 GMT 2025","12237","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeManuallySuccessfullyTest","User should be able to create build type",""
"passed","Thu Apr 10 19:12:18 GMT 2025","Thu Apr 10 19:12:18 GMT 2025","4","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutNameTest","User should not be able to create project without name",""
"passed","Thu Apr 10 19:11:23 GMT 2025","Thu Apr 10 19:12:17 GMT 2025","53800","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectSuccessfullyTest","User should be able to create project",""
"passed","Thu Apr 10 19:10:19 GMT 2025","Thu Apr 10 19:11:12 GMT 2025","52495","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
